id,weight,movieid_id
6,1,tt2975590
8,1,tt0240510
9,1,tt1600195
10,1,tt0859163
12,1,tt1170358
29,1,tt0417741
122,1,tt0449088
141,2,tt0120915
143,2,tt0770828
145,2,tt0144964
147,2,tt0080684
149,2,tt1872181
151,2,tt0086190
156,1,tt1980209
160,1,tt0121765
161,1,tt0472954
166,1,tt0482571
171,1,tt0110357
174,1,tt0090605
175,2,tt0078748
179,2,tt1077368
181,2,tt1345836
183,1,tt1853728
184,1,tt0120586
187,2,tt0910970
195,2,tt0401729
196,1,tt0379889
197,1,tt1772288
199,1,tt0918940
201,2,tt3460252
203,1,tt0373074
205,1,tt0082971
206,1,tt2333784
207,1,tt2002718
210,1,tt1068678
211,1,tt0830515
213,5,tt0076759
219,6,tt0118480
245,26,tt0121766
246,1,tt0129387
250,1,tt0167261
252,4,tt0114709
254,5,tt1049413
256,4,tt0435761
258,4,tt0120363
260,6,tt0119698
261,1,tt0369226
263,4,tt0094625
265,7,tt0468569
266,1,tt0167260
268,5,tt0110912
269,2,tt0120737
271,5,tt0111161
275,6,tt0071562
277,5,tt0137523
278,1,tt3322312
279,3,tt0092337
281,8,tt0311429
282,10,tt0245429
288,2,tt0348150
289,1,tt1298650
293,14,tt0499549
